#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time
1	1.000000e-04	1.000000e+00	0.000000e+00	1.250612e-14	2.699412e-07	1.000000e+00	1.584789e+01
2	2.000000e-04	1.000000e+00	0.000000e+00	9.376637e-15	2.139447e-07	1.000000e+00	1.641275e+01
3	3.000000e-04	1.000000e+00	0.000000e+00	6.099434e-15	1.563947e-07	1.000000e+00	1.696695e+01
4	4.000000e-04	1.000000e+00	0.000000e+00	4.487986e-15	1.167007e-07	1.000000e+00	1.752138e+01
5	5.000000e-04	1.000000e+00	0.000000e+00	3.580809e-15	9.722287e-08	1.000000e+00	1.807409e+01
6	6.000000e-04	1.000000e+00	0.000000e+00	3.013843e-15	7.585694e-08	1.000000e+00	1.862688e+01
7	7.000000e-04	1.000000e+00	0.000000e+00	2.666630e-15	7.002909e-08	1.000000e+00	1.918037e+01
8	8.000000e-04	1.000000e+00	0.000000e+00	2.399167e-15	5.813775e-08	1.000000e+00	1.973563e+01
9	9.000000e-04	1.000000e+00	0.000000e+00	2.136783e-15	5.280149e-08	1.000000e+00	2.028933e+01
10	1.000000e-03	1.000000e+00	0.000000e+00	2.002844e-15	4.532218e-08	1.000000e+00	2.084495e+01
11	1.100000e-03	1.000000e+00	0.000000e+00	1.841458e-15	4.141765e-08	1.000000e+00	2.140116e+01
12	1.200000e-03	1.000000e+00	0.000000e+00	1.698460e-15	4.114088e-08	1.000000e+00	2.195827e+01
13	1.300000e-03	1.000000e+00	0.000000e+00	1.610550e-15	3.728579e-08	1.000000e+00	2.251243e+01
14	1.400000e-03	1.000000e+00	0.000000e+00	1.658185e-15	2.971292e-08	1.000000e+00	2.306948e+01
15	1.500000e-03	1.000000e+00	0.000000e+00	1.461130e-15	2.539823e-08	1.000000e+00	2.362967e+01
16	1.600000e-03	1.000000e+00	0.000000e+00	1.454817e-15	2.887580e-08	1.000000e+00	2.418920e+01
17	1.700000e-03	1.000000e+00	0.000000e+00	1.430533e-15	2.710624e-08	1.000000e+00	2.474539e+01
18	1.800000e-03	1.000000e+00	0.000000e+00	1.301316e-15	2.718002e-08	1.000000e+00	2.530290e+01
19	1.900000e-03	1.000000e+00	0.000000e+00	1.334167e-15	2.006890e-08	1.000000e+00	2.586214e+01
20	2.000000e-03	1.000000e+00	0.000000e+00	1.348154e-15	2.084409e-08	1.000000e+00	2.642127e+01
21	2.100000e-03	1.000000e+00	0.000000e+00	1.302962e-15	1.748042e-08	1.000000e+00	2.697861e+01
22	2.200000e-03	1.000000e+00	0.000000e+00	1.246770e-15	1.713095e-08	1.000000e+00	2.754648e+01
23	2.300000e-03	1.000000e+00	0.000000e+00	1.261069e-15	1.500422e-08	1.000000e+00	2.810614e+01
24	2.400000e-03	1.000000e+00	0.000000e+00	1.170029e-15	1.594797e-08	1.000000e+00	2.866761e+01
25	2.500000e-03	1.000000e+00	0.000000e+00	1.128567e-15	1.540584e-08	1.000000e+00	2.922686e+01
26	2.600000e-03	1.000000e+00	0.000000e+00	1.158256e-15	1.491131e-08	1.000000e+00	2.978716e+01
27	2.700000e-03	1.000000e+00	0.000000e+00	1.082461e-15	9.114781e-09	1.000000e+00	3.034737e+01
28	2.800000e-03	1.000000e+00	0.000000e+00	1.101179e-15	6.119871e-09	1.000000e+00	3.091076e+01
29	2.900000e-03	1.000000e+00	0.000000e+00	1.162003e-15	9.833670e-09	1.000000e+00	3.146903e+01
30	3.000000e-03	1.000000e+00	0.000000e+00	1.106728e-15	8.327000e-09	1.000000e+00	3.202961e+01
31	3.100000e-03	1.000000e+00	0.000000e+00	1.094424e-15	7.142446e-09	1.000000e+00	3.258945e+01
32	3.200000e-03	1.000000e+00	0.000000e+00	1.105676e-15	7.830736e-09	1.000000e+00	3.315072e+01
33	3.300000e-03	1.000000e+00	0.000000e+00	1.107243e-15	7.380920e-09	1.000000e+00	3.371112e+01
34	3.400000e-03	1.000000e+00	0.000000e+00	1.094287e-15	7.479936e-09	1.000000e+00	3.427298e+01
35	3.500000e-03	1.000000e+00	0.000000e+00	1.108409e-15	9.226951e-09	1.000000e+00	3.483305e+01
36	3.600000e-03	1.000000e+00	0.000000e+00	1.061457e-15	7.884153e-09	1.000000e+00	3.539239e+01
37	3.700000e-03	1.000000e+00	0.000000e+00	1.101655e-15	9.270381e-09	1.000000e+00	3.595277e+01
38	3.800000e-03	1.000000e+00	0.000000e+00	1.106599e-15	7.657522e-09	1.000000e+00	3.651273e+01
39	3.900000e-03	1.000000e+00	0.000000e+00	1.072878e-15	7.940478e-09	1.000000e+00	3.707588e+01
40	4.000000e-03	1.000000e+00	0.000000e+00	1.029674e-15	7.449002e-09	1.000000e+00	3.763751e+01
41	4.100000e-03	1.000000e+00	0.000000e+00	9.942316e-16	7.684837e-09	1.000000e+00	3.819728e+01
42	4.200000e-03	1.000000e+00	0.000000e+00	1.034450e-15	6.480818e-09	1.000000e+00	3.875874e+01
43	4.300000e-03	1.000000e+00	0.000000e+00	1.035460e-15	1.951839e-09	1.000000e+00	3.932244e+01
44	4.400000e-03	1.000000e+00	0.000000e+00	1.064291e-15	4.403820e-09	1.000000e+00	3.988519e+01
45	4.500000e-03	1.000000e+00	0.000000e+00	1.018837e-15	3.453636e-09	1.000000e+00	4.044558e+01
